id,cui,denumire,dosare_count
282,,2K OKTOGON S.R.L.,1
256,,ABC INSURANCE SA,1
76,14140454,"AD UTILAJ LOGISTIC SRL, PRIN REPREZENTANT LEGAL",1
44,10002157,ADCON SRL,1
229,,ADISS ASSET MANAGEMENT SRL,1
227,1224383,ADISS NOVA SRL,1
160,,ADISS SA,1
107,,AGETAPS PAZA SRL PRIN LICHIDATOR,1
97,,AIR  LIQUIDE ROMANIA SRL PRIN REPEREZENTANT LEGAL,1
152,12048282,ALACLIMA SRL PRIN REPREZENTANT LEGAL,1
46,8714757,ALCROMAL SERVICE SRL,1
56,209873,ALFA CLUJ SRL,1
239,2981330,ALFRED SOLAQUA SRL,1
72,,ALSAFIX SRL,1
79,3535394,"ALUKONIGSTAHL SISTEME DE ALUMINIU, O?EL ?I PLASTIC SRL PRIN REPREZENTANT LEGAL CORINA RADU J40/913/1995 CUI RO 7025541/",1
169,,AMOROM GRUP SRL,1
131,1281435,ANKRYST IMPEX SRL PRIN REPREZENTANT LEGAL,1
54,2220134,ARC STORE SRL,1
53,,ARHIPRINT SRL,1
174,45984372,ARMAX SRL,1
248,3030057,ASIGURAREA ROMÂNEASCĂ - ASIROM VIENNA INSURANCE SA (ASIROM),1
32,,AUTOMATION IND.MACHINE SRL,1
271,1326618,AXA ROAD CONSTRUCŢII CFDP  SRL - CREANŢĂ PRELUATĂ PRIN CONTR. 1/19.05.2023 PENTRU ROA REISEN TOUR S.R.L.,1
5,,BAMESA OŢEL SA,1
2,13474529,BANCA TRANSILVANIA S.A. CLUJ NAPOCA  - SEDIUL DIN PIATRA NEAMŢ,1
246,,BANCA TRANSILVANIA SA- SUCURSALA NEAMŢ,1
25,19078450,BAUROM CONSTRUCT SRL,1
249,,BCR LEASING IFN SA,1
178,,BIFA AUTOMATIZĂRI SRL,1
172,,BOIA PETRU-DAN PFA,1
250,14080565,BRD SOGELEASE IFN S.A.- LA RĂDULESCU &MUŞOI SPARL,1
251,,BT LEASING TRANSILVANIA IFN S.A.,1
68,5562662,C.I.T.GRUP SRL,1
67,1895273,CANDY ANTO SRL,1
70,515325,CARGUS SRL,1
210,,CCF TRANS LINE EXCLUSIV SRL,1
181,6173000,CEC BANK SA,1
75,,"CII ALEXANDRU SAIDUFIS - ADMINISTRATOR JUDICIAR AL DEBITOAREI SC AGETAPS CONSTRUCT SRL, PRIN REPREZENTANT LEGAL",1
50,2967548,CIROMAX  PAN SRL,1
88,900738,CITADELLE EXPERT SRL PRIN REPREZENTANT,1
257,22224874,CJ APA SERV S.A.,1
162,,CLARITY FINANCIAL SRL,1
126,,CLIMASON CONSULTING SRL PRIN REPREZENTANT LEGAL,1
164,19582929,COMPANIA AQUASERV SA,1
163,,COMPANIA DE APĂ SOMEŞ SA,1
